round,source,organization,amount_usd,receiving_charity,purpose,note,year
2023/h2,,Online Team at the Centre for Effective Altruism,126000.0,"Effective Ventures Foundation USA, Inc.",General Support of the Online Team at the Centre for Effective Altruism,"Amount (Jaan Tallinn via LSG): $126,000 ($0)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,OPIS Guide and Advocacy,15000.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $15,000 ($15,000)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Orthogonal,493000.0,Ashgro Inc,General Support of Orthogonal,"Amount (Jaan Tallinn via LSG): $493,000 ¶ ($438,000)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 ($275,000)† | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Oxford China Policy Lab,253000.0,Berkeley Existential Risk Initiative,General Support of Oxford China Policy Lab,"Amount (Jaan Tallinn via LSG): $0 | Amount (FLI): $252,000 | Amount (Jaan Tallinn via SFF): $1,000 ($13,645)† | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Palisade Research,565627.0,Palisade Research,General Support,"Amount (Jaan Tallinn via LSG): $401,627 ($195,500)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $164,000 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,PauseAI,20000.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $20,000 ($20,000)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Payor Alignment Research,266000.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $266,000 ($210,000)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Pope Alignment Research,10800.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $10,800 ($9,800)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Principles of Intelligent Behavior in Biological and Social Systems (PIBBSS),186000.0,"Epistea, z. s.",General Support of PIBBSS,"Amount (Jaan Tallinn via LSG): $0 | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $186,000 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Raffel Alignment Methods Review,111000.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $111,000 ($0)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Schnabel AI Safety Litigation,404200.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $404,200 ($220,200)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
