grant_id,post_id,award_date,award_year,organization,title,amount_usd,focus_areas,funding_type,url
grants-1717-0,1717,2019-01-24,2019,Results for Development,Childhood Pneumonia Treatment Program,5605398.0,Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/results-for-development-childhood-pneumonia-treatment-program-2019/
grants-1943-0,1943,2019-01-24,2019,Animal Equality,Broiler Welfare Campaigns,215000.0,Farm Animal Welfare,Grants,https://coefficientgiving.org/grants/animal-equality-broiler-welfare-campaigns/
grants-2145-0,2145,2019-01-24,2019,International Refugee Assistance Project,General Support,1000000.0,,Grants,https://coefficientgiving.org/grants/international-refugee-assistance-project-general-support-2019/
grants-2002-0,2002,2019-01-25,2019,Center for Security and Emerging Technology,Center for Security and Emerging Technology,55000000.0,Navigating Transformative AI,Grants,https://coefficientgiving.org/grants/georgetown-university-center-for-security-and-emerging-technology/
grants-1838-0,1838,2019-02-01,2019,Princeton University,Animal Liberation,100000.0,Farm Animal Welfare,Grants,https://coefficientgiving.org/grants/princeton-university-animal-liberation/
grants-1921-0,1921,2019-02-01,2019,University Health Network,Preterm Birth Research,2778879.0,Maternal and Newborn Health; Science and Global Health R&D,Grants,https://coefficientgiving.org/grants/university-health-network-preterm-birth-research-2019/
grants-1819-0,1819,2019-02-07,2019,University of Pennsylvania,Research on Mammalian Reproduction (Kotaro Sasaki),660000.0,Science and Global Health R&D; Transformative Science,Grants,https://coefficientgiving.org/grants/university-of-pennsylvania-research-on-mammalian-reproduction-kotaro-sasaki-2019/
grants-1910-0,1910,2019-02-07,2019,We Animals Media,Content for Farm Animal Welfare Advocacy,240000.0,Farm Animal Welfare,Grants,https://coefficientgiving.org/grants/we-animals-content-for-farm-animal-welfare-advocacy-2019/
grants-1994-0,1994,2019-02-07,2019,The Center for Election Science,General Support,1800000.0,Other Areas,Grants,https://coefficientgiving.org/grants/the-center-for-election-science-general-support-2019/
grants-1948-0,1948,2019-02-08,2019,Essere Animali,Farm Animal Welfare Work in Italy,150000.0,Broiler Chicken Welfare; Farm Animal Welfare; Farm Animal Welfare in Europe; Fish Welfare,Grants,https://coefficientgiving.org/grants/essere-animali-farm-animal-welfare-work-in-italy/
